Descripcion_1,Descripcion_2,precio,mt2,latitud,longitud,Nombre_sector
Departamento,Departamento en venta en Guayaquil,125000,138,-2.166655596557214,-79.94505538163074,Ceibos
Local,Local en venta en Garzota,2760000,2083,-2.146510773974535,-79.8867829184118,Garzota
Oficina/Consultorio,Oficina/Consultorio en venta en Norte De Guayaquil,90000,55,-2.154740793738683,-79.89019224324029,Ciudadela Vernaza
Casa,Casa en venta en Guayaquil,398000,348,-2.166655596557214,-79.94505538163074,Ceibos
Departamento,Departamento en venta en Puerto Santa Ana,189000,80,-2.179125941420345,-79.87611984147239,Puerto Santa Ana
Departamento,Departamento en venta en Centro De Guayaquil,77700,130,-2.187623030303227,-79.89448406091897,Parroquia 9 de Octubre
Departamento,Departamento en venta en Centro De Guayaquil,50000,46,-2.193584378668255,-79.882830509397,Parroquia Rocafuerte
Oficina/Consultorio,Oficina/Consultorio en venta en Centro De Guayaquil,25000,120,-2.192503100457884,-79.87954859637213,Parroquia Rocafuerte
Local,Local en venta en Guayaquil,98000,220,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Oficina/Consultorio,Oficina/Consultorio en venta en Centro De Guayaquil,35000,43,-2.194228997571259,-79.88191931646563,Parroquia Rocafuerte
Departamento,Departamento en venta en Guayaquil,171900,144,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Departamento,Departamento en venta en Guayaquil,37000,80,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Departamento,Departamento en venta en Guayaquil,300000,440,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Guayaquil,400000,39062,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Lote,Lote en venta en Guayaquil,14000,9717,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Norte De Guayaquil,59500,84,-2.059700891448395,-79.9547228135841,Lotizacion Industrial Pascuales
Casa,Casa en venta en Norte De Guayaquil,45000,72,-2.077569716357044,-79.92161959709414,Mucho Lote
Departamento,Departamento en venta en Guayaquil,80000,84,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Departamento,Departamento en venta en Guayaquil,315900,136,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Lote,Lote en venta en Norte De Guayaquil,15500,114,-2.055049004668791,-79.9560068976762,San Francisco
Casa,Casa en venta en Norte De Guayaquil,50000,109,-2.124050778874452,-79.88649022307686,Sauces
Casa,Casa en venta en Guayaquil,147000,54,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Guayaquil,130000,129,-2.053137102430477,-79.91626872737436,La Joya
Oficina/Consultorio,Oficina/Consultorio en venta en Kennedy Norte,250000,219,-2.163532266779533,-79.8973451847409,La Kennedy
Casa,Casa en venta en Sur De Guayaquil,57500,142,-2.283996287255821,-79.88472856274618,Guasmo Este
Local,Local en venta en Guayaquil,39900,16,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Oficina/Consultorio,Oficina/Consultorio en venta en Puerto Santa Ana,109000,68,-2.179125941420345,-79.87611984147239,Puerto Santa Ana
Casa,Casa en venta en Bellavista,139800,285,-2.183231448676243,-79.9121949128008,Bellavista
Casa,Casa en venta en Guayaquil,130000,129,-2.053137102430477,-79.91626872737436,La Joya
Casa,Casa en venta en Norte De Guayaquil,84500,90,-2.096895591711425,-79.94287022431827,Colinas del Sol
Casa,Casa en venta en Centro De Guayaquil,155000,94,-2.206803651336557,-79.90063835591427,Parroquia Garcia Moreno
Casa,Casa en venta en Guayaquil,225000,300,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Samanes,89500,315,-2.117237514594672,-79.89270479180554,Guayacanes
Casa,Casa en venta en Guayaquil,130000,160,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Guayaquil,155000,16590,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Departamento,Departamento en venta en Kennedy Norte,175000,186,-2.158832034860829,-79.90197832825389,La Kennedy
Departamento,Departamento en venta en Urdesa central,168900,200,-2.169196695973065,-79.90675719994542,Urdesa
Bodega,Bodega en venta en Guayaquil,268000,550,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Norte De Guayaquil,50000,95,-2.124050778874452,-79.88649022307686,Sauces
Casa,Casa en venta en Norte De Guayaquil,92000,120,-2.081683234267321,-79.92058403649801,Mucho Lote
Local,Local en venta en Centro De Guayaquil,349900,310,-2.190579219653486,-79.88392452651104,Parroquia Pedro Carbo
Casa,Casa en venta en Samanes,79500,130,-2.113888203566436,-79.89883956444628,Samanes
Lote,Lote en venta en Norte De Guayaquil,680000,550,-2.16188537531303,-79.91296734560699,Urdesa
Casa,Casa en venta en Norte De Guayaquil,200000,427,-2.117237514594672,-79.89270479180554,Guayacanes
Oficina/Consultorio,Oficina/Consultorio en venta en Norte De Guayaquil,135000,100,-2.156258324588056,-79.89305512990583,Ciudadela Adace
Local,Local en venta en Guayaquil,228030,8801,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Guayaquil,59000,48,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Guayaquil,400000,160,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Norte De Guayaquil,85000,128,-2.134804934060888,-79.88415956113398,Acuarela
Lote,Lote en venta en Centro De Guayaquil,210000,470,-2.211833436441614,-79.9311816001882,Batallon del Suburbio
Lote,Lote en venta en Norte De Guayaquil,39000,1056,-2.005932841623204,-79.96409170343236,Lago Capeira
Departamento,Departamento en venta en Norte De Guayaquil,68000,100,-2.1638518197668,-79.90674788982061,Urdesa
Casa,Casa en venta en Guayaquil,85000,164,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Guayaquil,300000,280,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Local,Local en venta en Guayaquil,1200000,752,-2.162098772591725,-79.91165828834997,Urdesa
Departamento,Departamento en venta en Kennedy Norte,116000,90,-2.15699745914011,-79.90210022056046,La Kennedy
Departamento,Departamento en venta en Norte De Guayaquil,92000,80,-2.1638518197668,-79.90674788982061,Urdesa
Bodega,Bodega en venta en Norte De Guayaquil,150000,21,-2.154740793738683,-79.89019224324029,Ciudadela Vernaza
Casa,Casa en venta en Norte De Guayaquil,350000,480,-2.162677228330639,-79.94190970771638,Ceibos
Casa,Casa en venta en Norte De Guayaquil,59500,84,-2.059700891448395,-79.9547228135841,Lotizacion Industrial Pascuales
Casa,Casa en venta en Sur De Guayaquil,55000,220,-2.253236086622479,-79.8844918209309,Floresta
Lote,Lote en venta en Guayaquil,160000,600,-2.049104171827505,-79.91139317774885,El Condado
Casa,Casa en venta en Sur De Guayaquil,168000,235,-2.226587227237411,-79.89444485041204,Urbanizacion La Saiba
Casa,Casa en venta en Guayaquil,235000,89,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Norte De Guayaquil,72000,105,-2.160207941263499,-79.89697769362284,La Kennedy
Casa,Casa en venta en Norte De Guayaquil,39500,105,-2.081924678271996,-79.92253464808414,Mucho Lote
Casa,Casa en venta en Centro De Guayaquil,80000,200,-2.198007210253407,-79.91393740362007,Febres Cordero
Oficina/Consultorio,Oficina/Consultorio en venta en Kennedy Norte,94500,97,-2.16391123632474,-79.89816712235148,La Kennedy
Casa,Casa en venta en Guayaquil,130000,10,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Oficina/Consultorio,Oficina/Consultorio en venta en Puerto Santa Ana,109000,83,-2.179125941420345,-79.87611984147239,Puerto Santa Ana
Casa,Casa en venta en Centro De Guayaquil,439000,425,-2.217502614533075,-79.92377795777145,Puerto Lisa
Departamento,Departamento en venta en Puerto Santa Ana,185000,85,-2.179125941420345,-79.87611984147239,Puerto Santa Ana
Casa,Casa en venta en Guayaquil,540000,808,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Casa,Casa en venta en Guayaquil,240000,240,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Oficina/Consultorio,Oficina/Consultorio en venta en Centro De Guayaquil,25000,90,-2.189390838343625,-79.88912948645722,Parroquia Rocafuerte
Casa,Casa en venta en Guayaquil,380000,520,-2.166655596557214,-79.94505538163074,Ceibos
Casa,Casa en venta en Guayaquil,129000,220,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Lote,Lote en venta en Guayaquil,568000,2988,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Lote,Lote en venta en Guayaquil,220000,9717,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Departamento,Departamento en venta en Guayaquil,96000,225,-2.189406038591932,-79.8890825847566,Parroquia Rocafuerte
Oficina/Consultorio,Oficina/Consultorio en venta en Centro De Guayaquil,35000,32,-2.194045499895327,-79.88187864790665,Parroquia Rocafuerte
Departamento,Departamento en venta en Guayaquil,125000,115,-2.166655596557214,-79.94505538163074,Ceibos
Casa,Casa en venta en Norte De Guayaquil,59000,115,-2.087530273557651,-79.91451825466935,Orquideas
