Descripcion_1,Descripcion_2,precio,mt2,latitud,longitud,Nombre_sector
Departamento,Departamento,149000,65,-0.1725681817742039,-78.47566025947516,Iñaquito
Casa,Casa,9700300,77,-0.1630673934497233,-78.47727902078219,El Inca
Casa,Casa,1250000,180,-0.1736660629096703,-78.47580559956963,Iñaquito
Departamento,Departamento,159089,564,-0.1930361210690102,-78.50000235611381,Belisario Quevedo
Local,Local,1800000,2840,-0.1772866036606028,-78.4747248227789,Iñaquito
Casa,Casa,300000,250,-0.1963280874184664,-78.50695710087672,Belisario Quevedo
Penthouse,Penthouse,450000,305,-0.1630673934497233,-78.47727902078219,El Inca
Departamento,Departamento,60000,67,-0.1856349994484212,-78.48036454264256,Iñaquito
Departamento,Departamento,116000,57,-0.182238026213309,-78.48472844292812,Iñaquito
Departamento,Departamento,170000,57,-0.1821486630506693,-78.47882040592832,Iñaquito
Casa,Casa,69000,82,-0.2901944057793546,-78.5589051630702,Chillogallo
Casa,Casa,63850,65,-0.3261712270149098,-78.5559424704233,Guamani
Local,Local,199000,113,-0.1748108006640162,-78.48457305710897,Iñaquito
Otro,Otro,300000,234242,-0.2087782185097422,-78.5065684605672,San Juan
Lote,Lote,300000,600,-0.1407375538662689,-78.4794937519596,Kennedy
Departamento,Departamento,1500000,2581,-0.1410105885403886,-78.4819825355784,Kennedy
Departamento,Departamento,105000,86,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,176999,110,-0.1817369996757024,-78.47550850199568,Iñaquito
Departamento,Departamento,80000,106,-0.1441383323680875,-78.45676324433386,San Isidro del Inca
Lote,Lote,25000,445,-0.3366896051812424,-78.55070053080465,Guamani
Oficina/Consultorio,Oficina/Consultorio,185000,128,-0.1818166993405647,-78.47548101218808,Iñaquito
Departamento,Departamento,189754,119,-0.1889690245081055,-78.48785726683839,Iñaquito
Departamento,Departamento,140000,95,-0.1974876575904577,-78.4801799273143,La Paz
Departamento,Departamento,210315,105,-0.1817369996757024,-78.47550850199568,Iñaquito
Departamento,Departamento,148000,100,-0.2186786189339041,-78.5134440450616,Centro Historico
Casa,Casa,230000,454,-0.1328327305982767,-78.49472995420784,San Carlos
Departamento,Departamento,44000,50,-0.1964314124940435,-78.50698501564881,Belisario Quevedo
Lote,Lote,320000,462,-0.2186786189339041,-78.5134440450616,Centro Historico
Departamento,Departamento,525000,256,-0.1974876575904577,-78.4801799273143,La Paz
Departamento,Departamento,345000,123,-0.1974876575904577,-78.4801799273143,La Paz
Oficina/Consultorio,Oficina/Consultorio,210000,110,-0.1816144611382076,-78.48024669757494,Iñaquito
Departamento,Departamento,150000,110,-0.1759573449767289,-78.48553953239497,Iñaquito
Departamento,Departamento,98000,70,-0.190132874784067,-78.48353728995588,Iñaquito
Departamento,Departamento,85000,120,-0.09589180868834857,-78.47929803548391,Ponceano
Lote,Lote,710000,756,-0.1701691129369726,-78.47981355724887,Iñaquito
Departamento,Departamento,88000,102,-0.1328839842650457,-78.46890839423126,San Isidro del Inca
Departamento,Departamento,100000,88,-0.1669719984113687,-78.47046334787593,El Inca
Departamento,Departamento,85000,85,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,85000,119,-0.1932066010539323,-78.48282850526265,Iñaquito
Lote,Lote,450000,855,-0.3007749226264836,-78.53862520358439,Quitumbe
Casa,Casa,99000,115,-0.08841725197874489,-78.46350420414448,Carcelen
Departamento,Departamento,95000,135,-0.1570371345403986,-78.47925042871681,El Inca
Departamento,Departamento,104020,76,-0.1069374665698263,-78.48326093908409,Ponceano
Departamento,Departamento,278000,171,-0.1974876575904577,-78.4801799273143,La Paz
Casa,Casa,69000,381,-0.2690535402575787,-78.54338740931055,Solanda
Casa,Casa,150000,140,-0.1582072882048511,-78.47873516425278,El Inca
Departamento,Departamento,45000,79,-0.1911538152123844,-78.48668522642137,Iñaquito
Departamento,Departamento,75000,104,-0.1156632005657627,-78.50133914038443,Cotocollao
Casa,Casa,1100000,2500,-0.1968182654181139,-78.49973385273832,Belisario Quevedo
Departamento,Departamento,116000,77,-0.163221442649693,-78.47645728605127,El Inca
Lote,Lote,1300000,35000,-0.2781950565874727,-78.5411381917503,Turubamba
Lote,Lote,95000,1250,-0.2781950565874727,-78.5411381917503,Turubamba
Casa,Casa,790000,637,-0.198711895908151,-78.49007098783193,Mariscal Sucre
Departamento,Departamento,85000,55,-0.1816144611382076,-78.48024669757494,Iñaquito
Casa,Casa,83000,140,-0.1745564056701617,-78.48827970792968,Iñaquito
Departamento,Departamento,185000,292,-0.1731574345268795,-78.48029863960461,Iñaquito
Departamento,Departamento,170000,155,-0.2048873512535597,-78.49240145141094,Mariscal Sucre
Casa,Casa,81000,138,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,87000,138,-0.09871541269297242,-78.48003459345296,Ponceano
Casa,Casa,85000,200,-0.19173508193943,-78.5115279126308,Belisario Quevedo
Departamento,Departamento,147000,130,-0.1802198284068309,-78.47892645930715,Iñaquito
Departamento,Departamento,143000,198,-0.121306587702066,-78.48934898243658,Ponceano
Departamento,Departamento,198000,113,-0.1974876575904577,-78.4801799273143,La Paz
Departamento,Departamento,76000,86,-0.1876544243939911,-78.48770847559355,Iñaquito
Departamento,Departamento,180000,130,-0.1819648759356381,-78.48113768615424,Iñaquito
Departamento,Departamento,178000,115,-0.1817369996757024,-78.47550850199568,Iñaquito
Casa,Casa,90000,500,-0.09093900891370879,-78.47396099641091,Carcelen
Casa,Casa,119000,145,-0.1329260449337001,-78.47485516178897,Kennedy
Departamento,Departamento,135000,75,-0.1816144611382076,-78.48024669757494,Iñaquito
Oficina/Consultorio,Oficina/Consultorio,720000,675,-0.1762549797119277,-78.4826724228232,Iñaquito
Oficina/Consultorio,Oficina/Consultorio,180000,85,-0.1979624358031149,-78.48731794089632,Mariscal Sucre
Casa,Casa,119000,147,-0.1074194461873055,-78.48396529848748,Ponceano
Casa,Casa,75000,90,-0.2588499089797139,-78.52957309383564,San Bartolo
Local,Local,30000,37,-0.1173737587968893,-78.4887309341228,Ponceano
Oficina/Consultorio,Oficina/Consultorio,1448586,554,-0.1818626975509379,-78.48183026722678,Iñaquito
Departamento,Departamento,62500,70,-0.1407375538662689,-78.4794937519596,Kennedy
Lote,Lote,350000,4500,-0.2781950565874727,-78.5411381917503,Turubamba
Casa,Casa,260000,480,-0.3030009367966071,-78.55110685279304,Quitumbe
Casa,Casa,71000,293,-0.1172183241950727,-78.45746024074074,Comite del Pueblo
Casa,Casa,87000,107,-0.2988700263978388,-78.54939039340877,Quitumbe
Casa,Casa,128000,240,-0.1109847756600015,-78.48657718680217,Ponceano
Departamento,Departamento,150000,115,-0.1888975730976385,-78.49101296003623,Iñaquito
Lote,Lote,775780,1143,-0.3276205474352521,-78.56732988897791,Guamani
Departamento,Departamento,115000,91,-0.1889242405874983,-78.49650352039895,Belisario Quevedo
Casa,Casa,175000,90,-0.3007749226264836,-78.53862520358439,Quitumbe
Casa,Casa,88000,291,-0.2799256650831969,-78.51502709825806,Argelia
Oficina/Consultorio,Oficina/Consultorio,129690,55,-0.1819583295455583,-78.48184665602953,Iñaquito
Departamento,Departamento,107000,85,-0.1871273509992423,-78.49026234831749,Iñaquito
Casa,Casa,195000,663,-0.2611802265175818,-78.52650856639275,San Bartolo
Departamento,Departamento,187000,120,-0.1748068212821292,-78.47997484695465,Iñaquito
Departamento,Departamento,125000,101,-0.1669719984113687,-78.47046334787593,El Inca
Departamento,Departamento,110000,80,-0.1816144611382076,-78.48024669757494,Iñaquito
Departamento,Departamento,139000,118,-0.13738516067053,-78.46688466421382,San Isidro del Inca
Departamento,Departamento,250000,124,-0.1742551102672921,-78.47982959951598,Iñaquito
Departamento,Departamento,310000,88,-0.198711895908151,-78.49007098783193,Mariscal Sucre
Lote,Lote,45000,117,-0.2274311282900748,-78.50426458972807,La Tola
Departamento,Departamento,65000,130,-0.1336148412554709,-78.5018835071289,San Carlos
Local,Local,320000,105,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,58000,40,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,58000,82,-0.1896584384768087,-78.5078604259479,Belisario Quevedo
Casa,Casa,78000,191,-0.2576684630956264,-78.53276103324575,San Bartolo
Departamento,Departamento,145000,85,-0.1858007197142967,-78.48847046482705,Iñaquito
Casa,Casa,75000,126,-0.2937063907673071,-78.57474532591552,Chillogallo
Departamento,Departamento,199000,215,-0.1817369996757024,-78.47550850199568,Iñaquito
Casa,Casa,289500,181,-0.2627358452221163,-78.53801109491874,El Pintado
Departamento,Departamento,115000,137,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,140000,93,-0.1974876575904577,-78.4801799273143,La Paz
Departamento,Departamento,127000,145,-0.08993650968473954,-78.4796860861719,Carcelen
Departamento,Departamento,84900,141,-0.09977840298295779,-78.48151731863065,Ponceano
Bodega,Bodega,1750000,1804,-0.1570371345403986,-78.47925042871681,El Inca
Departamento,Departamento,114000,106,-0.1669719984113687,-78.47046334787593,El Inca
Departamento,Departamento,67000,100,-0.09260172071591075,-78.4709069346042,Carcelen
Departamento,Departamento,158000,90,-0.1870044268161762,-78.47967715451902,Iñaquito
Lote,Lote,2200000,3070,-0.1999041076977719,-78.49911023205809,Belisario Quevedo
Departamento,Departamento,95000,85,-0.111772121735568,-78.48396946063619,Ponceano
Oficina/Consultorio,Oficina/Consultorio,88000,42,-0.1816144611382076,-78.48024669757494,Iñaquito
Lote,Lote,335000,1125,-0.1314110820480618,-78.46870554605024,San Isidro del Inca
Local,Local,35000,41,-0.3276205474352521,-78.56732988897791,Guamani
Oficina/Consultorio,Oficina/Consultorio,105000,60,-0.1871273509992423,-78.49026234831749,Iñaquito
Casa,Casa,65000,150,-0.2642469270103625,-78.56111326228871,La Mena
Departamento,Departamento,485000,250,-0.1974876575904577,-78.4801799273143,La Paz
Casa,Casa,475000,305,-0.1888010955505145,-78.50826553255949,Belisario Quevedo
Departamento,Departamento,56000,85,-0.2995828476393161,-78.56924383982377,La Ecuatoriana
Departamento,Departamento,89500,65,-0.1570371345403986,-78.47925042871681,El Inca
Lote,Lote,32000,682,-0.2781950565874727,-78.5411381917503,Turubamba
Casa,Casa,650000,837,-0.2186786189339041,-78.5134440450616,Centro Historico
Departamento,Departamento,190000,223,-0.2067665367842683,-78.52169312677854,San Juan
Departamento,Departamento,189000,214,-0.1948928545136314,-78.47783210106866,La Paz
Casa,Casa,360000,135,-0.1322841773929096,-78.47651191826182,Kennedy
Departamento,Departamento,136000,78,-0.2754883013759804,-78.5460522783445,Santa Rita
Lote,Lote,1790000,1360,-0.1889242405874983,-78.49650352039895,Belisario Quevedo
