Descripcion_1,Descripcion_2,precio,mt2,ubicacion
Departamento,Departamento en venta en Guayaquil,$ 125.000,138 m² Totales,"https://www.google.com/maps/@-2.166655596557214,-79.94505538163074,13z?hl=es-ES&gl=US"
Local,Local en venta en Garzota,$ 2.760.000,2083 m² Totales,"https://www.google.com/maps/@-2.146510773974535,-79.8867829184118,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio en venta en Norte De Guayaquil,$ 90.000,55 m² Totales,"https://www.google.com/maps/@-2.154740793738683,-79.89019224324029,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 398.000,348 m² Totales,"https://www.google.com/maps/@-2.166655596557214,-79.94505538163074,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Via A La Costa,$ 159.000,131 m² Totales,"https://www.google.com/maps/@-2.188389543915323,-80.02724894488654,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 259.000,246 m² Totales,Nada
Departamento,Departamento en venta en Puerto Santa Ana,$ 189.000,80 m² Totales,"https://www.google.com/maps/@-2.179125941420345,-79.87611984147239,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 120.000,124 m² Totales,Nada
Lote,Lote en venta en Norte De Guayaquil,$ 38.000,1031 m² Totales,Nada
Departamento,Departamento en venta en Centro De Guayaquil,$ 77.700,130 m² Totales,"https://www.google.com/maps/@-2.187623030303227,-79.89448406091897,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 160.000,243 m² Totales,Nada
Departamento,Departamento en venta en Centro De Guayaquil,$ 50.000,46 m² Totales,"https://www.google.com/maps/@-2.193584378668255,-79.882830509397,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 67.500,120 m² Totales,Nada
Oficina/Consultorio,Oficina/Consultorio en venta en Centro De Guayaquil,$ 25.000,120 m² Totales,"https://www.google.com/maps/@-2.192503100457884,-79.87954859637213,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 162.000,173 m² Totales,Nada
Local,Local en venta en Guayaquil,$ 98.000,220 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio en venta en Centro De Guayaquil,$ 35.000,43 m² Totales,"https://www.google.com/maps/@-2.194228997571259,-79.88191931646563,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Guayaquil,$ 171.900,144 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Guayaquil,$ 37.000,80 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
