,Nombre_sector,N centros Comerciales,Sector,Ciudad,AreaMT2
0,Urbanizacion La Saiba,0.0,Sureste,Guayaquil,649435.1365507705
1,Ciudadela 9 de Octubre,1.0,Sureste,Guayaquil,397449.4835193261
2,Galavsa,0.0,Noroeste,Guayaquil,815731.3345341573
3,Parroquia Pedro Carbo,3.0,Noreste,Guayaquil,649391.2119792888
4,Parroquia Olmedo,3.0,Sureste,Guayaquil,427976.17784926266
5,Parroquia Ayacucho,1.0,Sureste,Guayaquil,1235878.6721747257
6,Parroquia Bolivar,2.0,Sureste,Guayaquil,540574.0960013443
7,San Felipe,4.0,Noroeste,Guayaquil,1993338.8079023564
8,Samanes,6.0,Noreste,Guayaquil,1883868.339301654
9,Vergeles,8.0,Noreste,Guayaquil,2227726.5576954684
10,Alborada,13.0,Noroeste,Guayaquil,3127222.0942209573
11,Garzota,12.0,Noreste,Guayaquil,1460809.01480227
12,Miraflores,2.0,Noroeste,Guayaquil,550596.1962925338
13,Acuarela,3.0,Noreste,Guayaquil,544377.2028814508
14,Brisas del Norte,0.0,Noreste,Guayaquil,224925.9485777651
15,Limonal,0.0,Noreste,Guayaquil,274916.7559120627
16,Puerto Santa Ana,2.0,Noreste,Guayaquil,108127.8469672892
17,Parroquia Rocafuerte,9.0,Sureste,Guayaquil,1145798.636563641
18,Las Peñas,0.0,Noreste,Guayaquil,111363.539630734
19,Cerro del Carmen,0.0,Noreste,Guayaquil,646717.2062339645
20,Universidad de Guayaquil,2.0,Noroeste,Guayaquil,329522.70117851504
21,Juan Montalvo,7.0,Noroeste,Guayaquil,3914716.3050620425
22,Ciudadela Los Alamos,1.0,Noroeste,Guayaquil,267923.01619392674
23,Rosales,2.0,Noroeste,Guayaquil,403041.4093274869
24,Colinas del Sol,3.0,Noroeste,Guayaquil,1279159.5176248725
25,Parque Industrial El Sauce,3.0,Noroeste,Guayaquil,851477.2307294753
26,Urbanizacion Industrial Inmaconsa,1.0,Noroeste,Guayaquil,1067441.903442632
27,Lotizacion Expogramos,7.0,Noroeste,Guayaquil,942581.0892249794
28,Santa Beatriz,0.0,Noroeste,Guayaquil,543820.5747292049
29,Isla Trinitaria,0.0,Suroeste,Guayaquil,5067844.421366032
30,Las Americas,2.0,Sureste,Guayaquil,811993.0797096204
31,Centenario,1.0,Sureste,Guayaquil,616646.1191974087
32,Puerto Azul,1.0,Suroeste,Guayaquil,1696390.4639993422
33,Urbanizacion Via al Sol,0.0,Suroeste,Guayaquil,274992.0674030293
34,Terminal Norte Metrovia,1.0,Noroeste,Guayaquil,263798.6144779019
35,Puerto Hondo,0.0,Suroeste,Guayaquil,1338886.9729160946
36,Centro Comercial Via la Costa,8.0,Suroeste,Guayaquil,81299.8503075548
37,Urbanizacion Portovita,2.0,Suroeste,Guayaquil,74587.90690218745
38,La Puntilla,0.0,Noreste,Guayaquil,398108.7271151696
39,Ciudad Santiago,1.0,Noroeste,Guayaquil,225856.22837517745
40,Chongon,1.0,Suroeste,Guayaquil,6987550.098088267
41,Bali,1.0,Noreste,Guayaquil,110799.2885197229
42,Vicrieel,0.0,Noreste,Guayaquil,274050.2312909464
43,Mocoli,0.0,Noreste,Guayaquil,3296165.114492361
44,Valle Alto,1.0,Suroeste,Guayaquil,1401608.9063862255
45,Bosques de la Costa,2.0,Suroeste,Guayaquil,898745.1114994291
46,Costalmar 2,0.0,Suroeste,Guayaquil,1127510.6052879917
47,El Condado,12.0,Noreste,Guayaquil,822677.8762116708
48,Villa Club,1.0,Noreste,Guayaquil,3000722.4070891524
49,Ciudad Celeste,4.0,Noreste,Guayaquil,2004654.5366038317
50,TerraNostra,1.0,Suroeste,Guayaquil,1320948.960681275
51,Bello Horizonte,1.0,Suroeste,Guayaquil,567099.9483211542
52,Portal al Sol,4.0,Suroeste,Guayaquil,352658.9837284384
53,Lago Capeira,0.0,Noroeste,Guayaquil,3428294.85408241
54,Matices,0.0,Noreste,Guayaquil,334227.2607029156
55,Fuentes del Rio,1.0,Noreste,Guayaquil,122861.90583576944
56,Portofino,2.0,Suroeste,Guayaquil,221509.70753794463
57,Bosques de Castilla,3.0,Noreste,Guayaquil,287701.627270301
58,Bougainville,0.0,Noreste,Guayaquil,189923.983902777
59,Laguna Club,1.0,Suroeste,Guayaquil,284181.5145129709
60,San Sebastian,1.0,Noreste,Guayaquil,35948.52287258924
61,Portico del Rio,0.0,Noreste,Guayaquil,93163.3108434762
62,Punta Esmeralda,1.0,Suroeste,Guayaquil,284800.6490254634
63,Altos del Rio,1.0,Noreste,Guayaquil,29272.36873126129
64,Central Park,2.0,Noreste,Guayaquil,141146.16190338638
65,Tennis Club,1.0,Noreste,Guayaquil,381623.3276399261
66,Vista al Rio,1.0,Noreste,Guayaquil,156726.29071015056
67,El Rio,3.0,Noreste,Guayaquil,430204.5896944535
68,Villas del Bosque,0.0,Suroeste,Guayaquil,282823.08650390065
69,Lotizacion Xandu,2.0,Noreste,Guayaquil,545061.2514465447
70,Manglero Vista,0.0,Noreste,Guayaquil,131227.68128157395
71,Biblios,0.0,Noreste,Guayaquil,302131.9637276214
72,Camino Real,3.0,Noreste,Guayaquil,101901.6780301589
73,Laguna Sol,0.0,Noreste,Guayaquil,292830.42020296544
74,Vista Sol,0.0,Noreste,Guayaquil,557708.2650501919
75,Vereda del Rio,1.0,Noreste,Guayaquil,71099.83981340897
76,Volare,2.0,Noreste,Guayaquil,73714.5041518905
77,Costabrisa,1.0,Suroeste,Guayaquil,633703.0712945216
78,Porto Acqua,0.0,Noreste,Guayaquil,54424.615038216565
79,El Cortijo,0.0,Noreste,Guayaquil,1423382.041924775
80,Luxury,0.0,Suroeste,Guayaquil,144992.1761855329
81,Santa Maria de Casa Grande,1.0,Noreste,Guayaquil,377084.130956282
82,Arcadia,1.0,Suroeste,Guayaquil,37692.70544691291
83,Estancias del Rio,0.0,Noreste,Guayaquil,198572.45438443543
84,Rio Lindo,1.0,Noreste,Guayaquil,54111.895079871785
85,Camino del Rio,0.0,Noreste,Guayaquil,272994.35820740816
86,Palmar del Rio,0.0,Noreste,Guayaquil,218177.2441335932
87,Casa Club,3.0,Suroeste,Guayaquil,64644.37221140879
88,San Bernardo,3.0,Noreste,Guayaquil,64009.092474173
89,Las Piramides,2.0,Noreste,Guayaquil,509467.4809912229
90,Fontana,0.0,Noreste,Guayaquil,107518.50792580702
91,Los Lagos,2.0,Noreste,Guayaquil,208537.29636828275
92,Laguna Dorada,5.0,Noreste,Guayaquil,233920.33671822856
93,AquaMarina,0.0,Noreste,Guayaquil,188957.18274873527
94,Rio Grande,2.0,Noreste,Guayaquil,185482.80573741905
95,Isla Sol,2.0,Noreste,Guayaquil,196216.81076420276
96,Tornero del Rio,1.0,Noreste,Guayaquil,105034.96159039166
97,Las Riveras,4.0,Noreste,Guayaquil,288588.2724752181
98,Mucho Lote,4.0,Noroeste,Guayaquil,1751459.8541991732
99,Cerro Colorado,1.0,Noroeste,Guayaquil,941878.5352875056
100,Bastion Popular,2.0,Noroeste,Guayaquil,4680130.706609215
101,Fuerte Huancavilca,1.0,Noroeste,Guayaquil,2964895.083758104
102,Ciudadela Estrella del Mar,0.0,Noreste,Guayaquil,59420.88385574002
103,Huancavilca Norte,2.0,Noreste,Guayaquil,294989.7676406405
104,Orquideas,1.0,Noroeste,Guayaquil,1033823.0417813584
105,Metropolis 1,1.0,Noreste,Guayaquil,55368.99711033249
106,Metropolis 2,2.0,Noreste,Guayaquil,699515.0017870077
107,Romareda,2.0,Noreste,Guayaquil,259327.99949638543
108,Veranda,2.0,Noreste,Guayaquil,115106.39599303353
109,La Perla,0.0,Noreste,Guayaquil,586379.5653389328
110,Jardines del Rio,1.0,Noreste,Guayaquil,105474.11252785964
111,Ciudad del Rio 2,2.0,Noreste,Guayaquil,154397.82742251933
112,Mucho Lote 2,2.0,Noreste,Guayaquil,1577272.576702215
113,Ciudad del Rio 1,1.0,Noreste,Guayaquil,139407.20842781957
114,Geranios 2,0.0,Noreste,Guayaquil,240322.01114278397
115,Geranios 1,0.0,Noreste,Guayaquil,212078.91655776303
116,San Nicolas,0.0,Noreste,Guayaquil,104031.3937081516
117,San Francisco,0.0,Noroeste,Guayaquil,1409392.3115707887
118,Ciudadela Caracol,0.0,Noroeste,Guayaquil,108068.63199068724
119,Montebello,0.0,Noroeste,Guayaquil,832785.4011477709
120,El Fortin,3.0,Noroeste,Guayaquil,1891295.037586288
121,Renacer,2.0,Suroeste,Guayaquil,121846.30285414057
122,Girasol,2.0,Suroeste,Guayaquil,164159.9424195431
