Nombre_sector,id
Acacias,1
Alborada,2
Argelia,3
Atahualpa,3
Belisario Quevedo,6
Bellavista,4
Carcelen,2
Centro Historico,1
Chimbacalle,1
Comite del Pueblo,5
Condor,1
Cotocollao,2
El Inca,6
Floresta,1
Florida,1
Garzota,2
Guamani,3
Guayacanes,1
Iñaquito,91
La Ecuatoriana,2
La Mena,2
La Paz,16
La Vicentina,1
Las Americas,1
Los Esteros,1
Mapasingue,2
Mariscal Sucre,18
Mucho Lote,3
Parroquia Garcia Moreno,1
Ponceano,16
Pradera,1
Puerto Lisa,1
Quitumbe,6
Samanes,6
San Bartolo,1
San Carlos,1
San Isidro del Inca,12
San Juan,16
Santa Rita,1
Sauces,2
Turubamba,14
Urdenor,1
Vergeles,1
