Nombre_sector,id
Abel Gilbert,60
Acacias,87
Academia Logos,205
Alborada,2926
Arcadia,13
Argelia,182
Atahualpa,111
Atarazana,1090
Balerio Estacio,1
Barrio Lindo,114
Bastion Popular,263
Batallon del Suburbio,173
Belisario Quevedo,1860
Bellavista,805
Carcelen,2121
Centro Historico,317
Cerro del Carmen,111
Chillogallo,207
Chimbacalle,106
Ciudadela 9 de Octubre,35
Colinas de la Florida,13
Comite del Pueblo,415
Condor,183
Cooperativa 5 de Diciembre,5
Cotocollao,631
Cristo del Consuelo,55
El Fortin,36
El Inca,2608
El Pintado,61
El Rio,269
El condado,263
Estero Salado,7
Febres Cordero,635
Flor de Bastion,30
Floresta,347
Florida,270
Garzota,2216
Guamani,305
Guanguala,102
Guasmo Norte - Rio Guayas,232
Guasmo Oeste,419
Guasmo Sur,6
Guasmo Sur - La Union,27
Guayacanes,751
Huancavilca Norte,231
Isla Trinitaria,80
Iñaquito,17585
Juan Montalvo,335
La Ecuatoriana,149
La Ferroviaria,560
La Luz,8
La Mena,145
La Paz,3766
La Tola,88
La Vicentina,134
Las Americas,266
Los Esteros,270
Lotizacion Industrial Pascuales,199
Luz del Guayas,19
Mapasingue,615
MarcoPamba,69
Mariscal Sucre,4005
Monte Sinai,7
Mucho Lote,981
Nueva Prosperina,12
Orquideas,381
Parroquia Garcia Moreno,424
Parroquia Letamendi,137
Parroquia Sucre,144
Parroquia Urdaneta,265
Pascuales,825
Ponceano,2984
Pradera,138
Prosperina,548
Puerto Lisa,574
Quitumbe,418
Rosales,98
Samanes,982
San Bartolo,58
San Carlos,343
San Francisco,114
San Isidro del Inca,1669
San Juan,503
Santa Anita,64
Santa Isabel,99
Santa Maria de Cotocollao,9
Santa Rita,100
Sauces,1684
Sergio Toral,56
Solanda,83
TerraNostra,255
Turubamba,362
Urbanor,195
Urdenor,994
Vergeles,341
Vista Sol,362
